member_number_members_sa,id_membership_periods_sa,purchased_on_adjusted_mp,real_membership_types_sa,new_member_category_6_sa,membership_type_id_mp,starts_mp,ends_mp
490217408,4544481,"2023-08-27 00:00:00",one_day,"One Day - $15",47,2023-08-27,2023-08-27
490556219,3958983,"2022-08-20 00:00:00",one_day,"One Day - $15",47,2022-08-20,2022-08-21
490556219,3983288,"2022-08-20 00:00:00",one_day,"One Day - $15",47,2022-08-20,2022-08-21
490625683,3958728,"2022-07-16 00:00:00",one_day,"One Day - $15",47,2022-07-16,2022-07-17
490625683,3983031,"2022-07-16 00:00:00",one_day,"One Day - $15",47,2022-07-16,2022-07-17
490714747,4551406,"2023-10-01 00:00:00",one_day,"One Day - $15",47,2023-10-01,2023-10-01
490714747,4551614,"2023-10-01 00:00:00",one_day,"One Day - $15",47,2023-10-01,2023-10-01
490830291,3956998,"2022-03-06 00:00:00",one_day,"One Day - $15",47,2022-03-06,2022-03-06
490830291,3981663,"2022-03-06 00:00:00",one_day,"One Day - $15",47,2022-03-06,2022-03-06
491260130,4694692,"2024-05-19 00:00:00",one_day,"Bronze - $0",115,2024-05-19,2024-05-19
491260130,4697221,"2024-05-19 00:00:00",one_day,"Bronze - $0",115,2024-05-19,2024-05-19
491470899,3956715,"2022-06-11 00:00:00",one_day,"One Day - $15",47,2022-06-11,2022-06-12
491470899,3967588,"2022-06-11 00:00:00",one_day,"One Day - $15",47,2022-06-11,2022-06-12
491521798,3958788,"2022-04-03 00:00:00",one_day,"One Day - $15",47,2022-04-03,2022-04-03
491521798,3983092,"2022-04-03 00:00:00",one_day,"One Day - $15",47,2022-04-03,2022-04-03
491775002,3955756,"2022-06-25 00:00:00",one_day,"One Day - $15",47,2022-06-25,2022-06-26
491775002,3965301,"2022-06-25 00:00:00",one_day,"One Day - $15",47,2022-06-25,2022-06-26
