purchased_on_mp,member_number_members_sa,id_membership_periods_sa,starts_mp,ends_mp
"2022-03-06 06:00:00",767847256,3982717,2022-03-06,2022-03-06
"2022-03-06 06:00:00",772134138,3958658,2022-03-06,2022-03-06
"2022-03-06 06:00:00",772134138,3982961,2022-03-06,2022-03-06
"2022-03-06 06:00:00",772242866,3956983,2022-03-06,2022-03-06
"2022-03-06 06:00:00",772242866,3981652,2022-03-06,2022-03-06
"2022-03-06 06:00:00",774630727,3958083,2022-03-06,2022-03-06
"2022-03-06 06:00:00",774630727,3982469,2022-03-06,2022-03-06
"2022-03-06 06:00:00",776123758,3957858,2022-03-06,2022-03-06
"2022-03-06 06:00:00",776123758,3982297,2022-03-06,2022-03-06
"2022-03-06 06:00:00",782533759,3957959,2022-03-06,2022-03-06
"2022-03-06 06:00:00",782533759,3982374,2022-03-06,2022-03-06
"2022-03-06 06:00:00",795012217,3958644,2022-03-06,2022-03-06
"2022-03-06 06:00:00",795012217,3982947,2022-03-06,2022-03-06
"2022-03-06 06:00:00",796695012,3958397,2022-03-06,2022-03-06
"2022-03-06 06:00:00",796695012,3982699,2022-03-06,2022-03-06
"2022-03-06 06:00:00",796944233,3957395,2022-03-06,2022-03-06
"2022-03-06 06:00:00",796944233,3981954,2022-03-06,2022-03-06
"2022-03-06 06:00:00",820990716,3958084,2022-03-06,2022-03-06
"2022-03-06 06:00:00",820990716,3982470,2022-03-06,2022-03-06
"2022-03-06 06:00:00",822046628,3957006,2022-03-06,2022-03-06
"2022-03-06 06:00:00",822046628,3981669,2022-03-06,2022-03-06
"2022-03-06 06:00:00",822884395,3957791,2022-03-06,2022-03-06
"2022-03-06 06:00:00",822884395,3982246,2022-03-06,2022-03-06
"2022-03-06 06:00:00",823820916,3958183,2022-03-06,2022-03-06
"2022-03-06 06:00:00",823820916,3982547,2022-03-06,2022-03-06
"2022-03-06 06:00:00",824898629,3958946,2022-03-06,2022-03-06
"2022-03-06 06:00:00",824898629,3983251,2022-03-06,2022-03-06
"2022-03-06 06:00:00",830737769,3957187,2022-03-06,2022-03-06
